iter	MultiClass
0	1.069985701
1	1.045342441
2	1.016901481
3	0.9924276048
4	0.9752471606
5	0.9551768819
6	0.9416515371
7	0.9224448442
8	0.9063854948
9	0.8863147375
10	0.8694206174
11	0.8618442328
12	0.8479493654
13	0.8331952841
14	0.8147583444
15	0.8060263411
16	0.7895297795
17	0.7744034565
18	0.7585152886
19	0.7482298169
20	0.7370657465
21	0.7284795247
22	0.7144158437
23	0.7031518106
24	0.6941731964
25	0.6837061292
26	0.6680704551
27	0.6565481605
28	0.6462559553
29	0.6393684494
30	0.6309120941
31	0.6229017806
32	0.6137787682
33	0.6027375876
34	0.5907501093
35	0.5824372087
36	0.5752865369
37	0.5662103251
38	0.5591162926
39	0.5515758571
40	0.543268886
41	0.534183841
42	0.5282969255
43	0.5228597176
44	0.5143063775
45	0.5065602619
46	0.5002020011
47	0.4936354165
48	0.4862512009
49	0.4783070756
50	0.4717032077
51	0.4665593487
52	0.4609007376
53	0.4518614794
54	0.4445469136
55	0.4423295899
56	0.4371918667
57	0.4314068616
58	0.4271262408
59	0.4247799929
60	0.4181818114
61	0.4120016325
62	0.4099744583
63	0.4041677453
64	0.3998241753
65	0.396617607
66	0.3919536375
67	0.3868648695
68	0.3800609354
69	0.3740353626
70	0.3712485783
71	0.3660783203
72	0.3607517001
73	0.3570507918
74	0.3526177426
75	0.346830371
76	0.3416050383
77	0.3365281881
78	0.3319167232
79	0.3284664998
80	0.3252204928
81	0.3204881209
82	0.3172899432
83	0.3147058989
84	0.3115284602
85	0.3068381109
86	0.302544887
87	0.2991183247
88	0.2952815777
89	0.2913524311
90	0.2889793314
91	0.2846593948
92	0.2827445731
93	0.2798415709
94	0.2754761064
95	0.2725657357
96	0.2696514798
97	0.2673842054
98	0.2637582211
99	0.260231559
100	0.255541684
101	0.2533324253
102	0.2512306297
103	0.2469627907
104	0.2432335103
105	0.2408046408
106	0.2374117786
107	0.2340731636
108	0.2295839807
109	0.2264925059
110	0.2222835452
111	0.2191260771
112	0.2161419346
113	0.2131445697
114	0.2113935881
115	0.209622504
116	0.2073560277
117	0.2046436699
118	0.202594542
119	0.2000528577
120	0.1968182887
121	0.1947706671
122	0.1922920824
123	0.1897724461
124	0.1874439651
125	0.1852433924
126	0.183900552
127	0.1805784503
128	0.1776100359
129	0.1750593076
130	0.1729185994
131	0.171672092
132	0.1699905131
133	0.1685975114
134	0.1666784482
135	0.1655284049
136	0.1644489326
137	0.1629147144
138	0.1618065557
139	0.1603264917
140	0.1587643019
141	0.1574217124
142	0.1550706464
143	0.1536845085
144	0.1520035513
145	0.1508096556
146	0.1496329639
147	0.1486931991
148	0.1469722115
149	0.1459486262
150	0.144786377
151	0.1431687515
152	0.1419398085
153	0.1405452139
154	0.1393665677
155	0.1382989094
156	0.1372827699
157	0.1362358853
158	0.1352337535
159	0.1342321822
160	0.1332494425
161	0.1323165014
162	0.1314180431
163	0.1306012699
164	0.1294966744
165	0.1285502063
166	0.1277259094
167	0.1270767758
168	0.126021953
169	0.1252250542
170	0.1243645521
171	0.1234400878
172	0.1227802357
173	0.1219858896
174	0.1212458315
175	0.1205393305
176	0.1197704141
177	0.1189915994
178	0.1181686215
179	0.1174816346
180	0.1164709148
181	0.115662221
182	0.1149780203
183	0.1144016621
184	0.1135439883
185	0.1128036281
186	0.1121352039
187	0.111580598
188	0.1107538703
189	0.1103413996
190	0.1097348812
191	0.109180156
192	0.108527094
193	0.1077267869
194	0.1071462449
195	0.1065927719
196	0.105930012
197	0.1053199503
198	0.1048403918
199	0.1043223729
