iter	Passed	Remaining
0	27	5569
1	52	5240
2	77	5083
3	98	4832
4	123	4809
5	143	4629
6	162	4467
7	182	4370
8	201	4265
9	221	4213
10	240	4139
11	260	4075
12	282	4068
13	302	4020
14	323	3988
15	343	3951
16	367	3956
17	386	3906
18	405	3867
19	425	3832
20	445	3797
21	464	3761
22	483	3723
23	503	3689
24	521	3652
25	540	3614
26	557	3574
27	579	3557
28	598	3528
29	609	3453
30	629	3431
31	648	3405
32	669	3388
33	692	3383
34	718	3387
35	739	3370
36	762	3357
37	782	3334
38	801	3309
39	821	3286
40	829	3218
41	849	3197
42	869	3175
43	889	3154
44	911	3138
45	934	3128
46	954	3108
47	974	3084
48	994	3064
49	1013	3041
50	1033	3020
51	1053	2998
52	1073	2976
53	1092	2952
54	1111	2931
55	1133	2913
56	1154	2897
57	1166	2856
58	1187	2836
59	1207	2817
60	1231	2805
61	1251	2785
62	1270	2761
63	1289	2741
64	1310	2721
65	1321	2683
66	1341	2663
67	1360	2641
68	1380	2620
69	1399	2598
70	1419	2578
71	1441	2563
72	1460	2541
73	1480	2520
74	1498	2497
75	1517	2476
76	1535	2453
77	1554	2431
78	1572	2408
79	1595	2393
80	1613	2370
81	1631	2347
82	1637	2308
83	1655	2286
84	1675	2266
85	1684	2233
86	1705	2215
87	1725	2196
88	1746	2178
89	1767	2159
90	1784	2137
91	1804	2118
92	1816	2089
93	1836	2071
94	1859	2055
95	1881	2037
96	1900	2018
97	1919	1997
98	1937	1976
99	1956	1956
100	1967	1928
101	1987	1909
102	2007	1890
103	2028	1872
104	2048	1853
105	2070	1835
106	2091	1817
107	2113	1800
108	2127	1775
109	2149	1758
110	2168	1738
111	2188	1719
112	2209	1701
113	2231	1683
114	2250	1663
115	2273	1646
116	2293	1627
117	2316	1609
118	2336	1590
119	2358	1572
120	2379	1553
121	2399	1533
122	2422	1516
123	2442	1497
124	2462	1477
125	2483	1458
126	2503	1438
127	2523	1419
128	2543	1399
129	2562	1379
130	2585	1361
131	2605	1342
132	2627	1323
133	2647	1304
134	2670	1285
135	2692	1267
136	2715	1248
137	2736	1229
138	2757	1210
139	2777	1190
140	2798	1170
141	2820	1152
142	2841	1132
143	2861	1112
144	2881	1093
145	2902	1073
146	2923	1054
147	2945	1034
148	2965	1015
149	2986	995
150	3007	976
151	3027	956
152	3046	935
153	3069	916
154	3089	896
155	3109	876
156	3128	856
157	3147	836
158	3167	816
159	3188	797
160	3207	777
161	3227	757
162	3245	736
163	3264	716
164	3285	696
165	3303	676
166	3323	656
167	3344	636
168	3364	617
169	3383	597
170	3404	577
171	3424	557
172	3444	537
173	3465	517
174	3485	497
175	3504	477
176	3529	458
177	3549	438
178	3569	418
179	3591	399
180	3611	379
181	3631	359
182	3653	339
183	3674	319
184	3695	299
185	3716	279
186	3737	259
187	3757	239
188	3775	219
189	3796	199
190	3818	179
191	3838	159
192	3858	139
193	3878	119
194	3898	99
195	3917	79
196	3937	59
197	3956	39
198	3976	19
199	3994	0
